Co_Ref,Contact_ID,Call_Date,Direction,cc_business_struggles_financial_hardship,cc_dissatisfaction_support,cc_contractor_sentiment,cc_contractor_sentiment_issues_score,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_complained,Analysed_Call
CQ9953,590559000000.0,2024-11-15,IN_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
ND7200,624978000000.0,2025-04-29,OUT_BOUND,Yes,No,Dissatisfied,50,Yes,No,Yes,1
IR1360,687862000000.0,2025-11-19,IN_BOUND,No,Yes,Dissatisfied,20,Yes,Yes,Yes,1
TZ7190,685920000000.0,2025-10-27,IN_BOUND,No,Yes,Dissatisfied,10,No,No,Yes,1
YF2574,594293000000.0,2025-01-16,IN_BOUND,No,Yes,Satisfied,90,Yes,Yes,Yes,1
TV7209,595603000000.0,2025-02-06,OUT_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
SV8074,676349000000.0,2025-06-18,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
NK3531,596363000000.0,2025-02-18,OUT_BOUND,Yes,No,Dissatisfied,60,Yes,No,Yes,1
SG4268,678400000000.0,2025-07-16,OUT_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
SU4549,594703000000.0,2025-01-22,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
MW2016,590914000000.0,2024-11-20,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
AH0535,623776000000.0,2025-04-11,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Unknown,1
QB7826,689923000000.0,2025-12-12,IN_BOUND,No,No,Neutral,80,No,No,Unknown,1
FW4448,684085000000.0,2025-10-02,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Unknown,1
KM8530,684787000000.0,2025-10-10,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Unknown,1
TP7977,686118000000.0,2025-10-27,OUT_BOUND,No,No,Neutral,Not Discussed,No,No,Unknown,1
BZ1029,594580000000.0,2025-01-21,IN_BOUND,No,No,Satisfied,90,No,No,Unknown,1
YF4082,684557000000.0,2025-10-08,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
XM6295,621700000000.0,2025-03-11,OUT_BOUND,No,No,Neutral,80,Yes,No,Yes,1
OM3286,591087000000.0,2024-11-25,IN_BOUND,Yes,No,Neutral,40,Yes,No,Yes,1
ON8433,689009000000.0,2025-12-03,IN_BOUND,No,No,Satisfied,80,Yes,Yes,Yes,1
FC7627,592600000000.0,2024-12-17,IN_BOUND,Yes,No,Satisfied,90,Yes,No,Yes,1
QA9843,595927000000.0,2025-02-12,IN_BOUND,No,Yes,Satisfied,80,No,No,Yes,1
OI5992,677897000000.0,2025-07-09,OUT_BOUND,Yes,No,Neutral,30,Yes,No,Yes,1
DC8779,682340000000.0,2025-09-09,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
AH6048,689553000000.0,2025-12-09,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
GK4939,651878000000.0,2025-06-12,IN_BOUND,Yes,No,Neutral,60,Yes,No,Yes,1
LM0230,679015000000.0,2025-07-25,IN_BOUND,Yes,No,Satisfied,80,No,No,Yes,1
UK2563,684558000000.0,2025-10-09,IN_BOUND,Yes,No,Satisfied,80,No,No,Yes,1
MW5838,621949000000.0,2025-03-14,IN_BOUND,Yes,No,Satisfied,80,Yes,No,Yes,1
RY4440,624670000000.0,2025-04-24,OUT_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
BQ0037,594703000000.0,2025-01-23,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
DT7731,539895000000.0,2024-10-03,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
OH4644,622558000000.0,2025-03-24,OUT_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
FX3530,593696000000.0,2025-01-07,IN_BOUND,No,Yes,Dissatisfied,60,No,Yes,Yes,1
PA6608,565434000000.0,2024-10-29,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
PZ5934,592073000000.0,2024-12-11,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
GB7506,597369000000.0,2025-03-06,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
VD6247,690633000000.0,2025-12-23,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
ZC3820,626069000000.0,2025-05-16,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
QF1004,685631000000.0,2025-10-21,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
FI0480,621949000000.0,2025-03-14,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
NO5998,591755000000.0,2024-12-06,OUT_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
LB1691,689553000000.0,2025-12-09,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
FG7854,651406000000.0,2025-06-05,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
YI6465,594580000000.0,2025-01-21,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
JR2248,676468000000.0,2025-06-20,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
KF1439,681421000000.0,2025-08-27,IN_BOUND,No,Yes,Dissatisfied,20,No,Yes,Yes,1
AZ8674,623776000000.0,2025-04-11,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
AL3885,687353000000.0,2025-11-12,IN_BOUND,No,Yes,Dissatisfied,20,Yes,Yes,Yes,1
WJ3894,591370000000.0,2024-11-28,IN_BOUND,No,Yes,Dissatisfied,0,Yes,Yes,Yes,1
NM4287,622105000000.0,2025-03-18,OUT_BOUND,No,Yes,Dissatisfied,30,Yes,Yes,Yes,1
WC1802,683926000000.0,2025-10-01,OUT_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
PU5732,651742000000.0,2025-06-10,IN_BOUND,No,Yes,Dissatisfied,0,Yes,Yes,Yes,1
DS3862,686971000000.0,2025-11-07,OUT_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
XL9130,685632000000.0,2025-10-22,IN_BOUND,Yes,Yes,Dissatisfied,20,No,No,Yes,1
JW9947,686481000000.0,2025-10-31,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
QU5680,688242000000.0,2025-11-21,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
RR3394,591086000000.0,2024-11-22,OUT_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
KI3905,678203000000.0,2025-07-14,IN_BOUND,No,Yes,Dissatisfied,40,No,Yes,Yes,1
BC5820,690437000000.0,2025-12-19,IN_BOUND,No,Yes,Dissatisfied,10,Yes,Yes,Yes,1
AG7504,682829000000.0,2025-09-16,IN_BOUND,No,Yes,Dissatisfied,10,Yes,Yes,Yes,1
WX7383,689200000000.0,2025-12-05,IN_BOUND,Yes,No,Dissatisfied,40,Yes,Yes,Yes,1
SO4353,686118000000.0,2025-10-27,OUT_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
UY2725,691479000000.0,2026-01-05,IN_BOUND,Yes,Yes,Dissatisfied,40,No,Yes,Yes,1
YL7484,624670000000.0,2025-04-24,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
DT7731,680317000000.0,2025-08-12,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
HF3845,682151000000.0,2025-09-08,IN_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
RP0743,690633000000.0,2025-12-23,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
UO6327,683260000000.0,2025-09-22,IN_BOUND,No,Yes,Dissatisfied,0,No,Yes,Yes,1
PP2427,691479000000.0,2026-01-05,IN_BOUND,Yes,Yes,Dissatisfied,20,No,No,Yes,1
KV9095,682013000000.0,2025-09-05,OUT_BOUND,Yes,Yes,Dissatisfied,30,Yes,No,Yes,1
MR8067,591514000000.0,2024-12-02,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
RA2706,591234000000.0,2024-11-25,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
YI7795,590915000000.0,2024-11-21,OUT_BOUND,No,Yes,Dissatisfied,Not Discussed,No,No,Yes,1
EO2837,593549000000.0,2025-01-06,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
HV8776,625975000000.0,2025-05-15,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ZW2468,592449000000.0,2024-12-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ZW2468,594136000000.0,2025-01-14,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ZW2468,596362000000.0,2025-02-18,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
GR6243,597081000000.0,2025-02-28,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
IL4949,593975000000.0,2025-01-13,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EB8821,595746000000.0,2025-02-10,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
OG5268,684557000000.0,2025-10-08,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
CJ9239,595746000000.0,2025-02-10,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
XN9710,691479000000.0,2026-01-05,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
XS0857,684417000000.0,2025-10-07,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
LO5292,589929000000.0,2024-11-06,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
NS6625,684558000000.0,2025-10-09,IN_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
WM1735,682151000000.0,2025-09-08,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
VF6083,590915000000.0,2024-11-21,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
ET3355,691479000000.0,2026-01-05,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
HX3887,688014000000.0,2025-11-19,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
CR0615,624067000000.0,2025-04-15,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
MG6932,592600000000.0,2024-12-17,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
OH7751,592897000000.0,2024-12-23,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
JU9386,594833000000.0,2025-01-27,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
LO5292,589929000000.0,2024-11-06,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
IS6691,594293000000.0,2025-01-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
DR2970,678401000000.0,2025-07-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EL9132,590439000000.0,2024-11-14,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
XF0385,595604000000.0,2025-02-06,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
KU2859,595126000000.0,2025-01-30,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
BP1196,677897000000.0,2025-07-09,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
SV8074,677235000000.0,2025-07-02,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ID2555,592449000000.0,2024-12-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
NH0315,676649000000.0,2025-06-23,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
AZ1194,590558000000.0,2024-11-15,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
HT8461,592601000000.0,2024-12-18,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ZK0337,591087000000.0,2024-11-25,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
MU6030,626068000000.0,2025-05-15,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
AF1252,592448000000.0,2024-12-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
EE6963,539719000000.0,2024-09-30,IN_BOUND,Yes,No,Satisfied,90,No,No,Yes,1
MF1821,622558000000.0,2025-03-24,IN_BOUND,No,No,Satisfied,80,Yes,No,Yes,1
HS2204,684084000000.0,2025-10-02,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
HP2911,625696000000.0,2025-05-09,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
HP2911,650533000000.0,2025-05-23,OUT_BOUND,No,No,Not Discussed,Not Discussed,No,No,Yes,1
IS6691,625851000000.0,2025-05-12,IN_BOUND,Yes,Yes,Neutral,70,Yes,No,Yes,1
YL7484,688704000000.0,2025-11-27,IN_BOUND,Yes,No,Neutral,70,Yes,No,Yes,1
JT9910,686481000000.0,2025-10-31,OUT_BOUND,No,No,Neutral,80,No,No,Yes,1
OM8699,565433000000.0,2024-10-28,IN_BOUND,Yes,No,Neutral,80,Yes,No,Yes,1
GM4400,650976000000.0,2025-05-29,OUT_BOUND,Yes,No,Neutral,40,Yes,Yes,Yes,1
AV8034,691675000000.0,2026-01-07,IN_BOUND,No,Yes,Neutral,60,Yes,No,Yes,1
GP9964,679805000000.0,2025-08-05,OUT_BOUND,Yes,Yes,Neutral,60,Yes,No,Yes,1
PZ5934,592600000000.0,2024-12-17,IN_BOUND,No,Yes,Neutral,70,No,No,Yes,1
UN7330,689200000000.0,2025-12-05,OUT_BOUND,Yes,No,Neutral,60,Yes,No,Yes,1
HK2240,685124000000.0,2025-10-15,OUT_BOUND,No,No,Neutral,60,Yes,No,Yes,1
SM5151,688014000000.0,2025-11-19,OUT_BOUND,No,No,Neutral,40,No,No,Yes,1
HI4307,624067000000.0,2025-04-15,OUT_BOUND,Yes,No,Neutral,80,Yes,No,Yes,1
EE1362,689717000000.0,2025-12-10,OUT_BOUND,Yes,No,Neutral,Not Discussed,Yes,No,Yes,1
ZD5964,691673000000.0,2026-01-06,OUT_BOUND,No,No,Neutral,40,Yes,No,Yes,1
EG7701,590250000000.0,2024-11-12,IN_BOUND,No,No,Dissatisfied,80,Yes,Yes,Yes,1
ET3267,684955000000.0,2025-10-14,OUT_BOUND,Yes,No,Dissatisfied,20,Yes,Yes,Yes,1
CY0623,623305000000.0,2025-04-04,OUT_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
RP0743,565091000000.0,2024-10-23,OUT_BOUND,Yes,No,Dissatisfied,10,Yes,No,Yes,1
IX0997,685241000000.0,2025-10-17,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
PP2427,689199000000.0,2025-12-04,IN_BOUND,Yes,Yes,Dissatisfied,40,No,No,Yes,1
IB3282,624838000000.0,2025-04-28,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
VM5292,651407000000.0,2025-06-05,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
ON6382,591754000000.0,2024-12-04,IN_BOUND,No,Yes,Dissatisfied,0,No,No,Yes,1
EZ0430,623936000000.0,2025-04-14,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
JA1357,685774000000.0,2025-10-24,IN_BOUND,Yes,Yes,Dissatisfied,10,Yes,Yes,Yes,1
EI2988,689201000000.0,2025-12-05,IN_BOUND,Yes,No,Dissatisfied,40,Yes,Yes,Yes,1
GK3743,688424000000.0,2025-11-25,OUT_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
KB1792,685446000000.0,2025-10-20,OUT_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
SX3054,686481000000.0,2025-10-31,IN_BOUND,No,No,Dissatisfied,80,Yes,Yes,Yes,1
KY4433,685773000000.0,2025-10-23,OUT_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
BF2594,626392000000.0,2025-05-20,OUT_BOUND,No,No,Dissatisfied,30,Yes,No,Yes,1
ET6117,651877000000.0,2025-06-11,IN_BOUND,No,No,Dissatisfied,80,Yes,Yes,Yes,1
NS4345,684416000000.0,2025-10-06,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
RT8191,678522000000.0,2025-07-18,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
WN5314,625513000000.0,2025-05-08,IN_BOUND,No,Yes,Dissatisfied,80,No,No,Yes,1
OP5364,686662000000.0,2025-11-03,OUT_BOUND,No,No,Dissatisfied,20,Yes,Yes,Yes,1
DX0864,691479000000.0,2026-01-05,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
NO1689,621825000000.0,2025-03-13,OUT_BOUND,Yes,No,Dissatisfied,0,Yes,No,Yes,1
WZ5462,622557000000.0,2025-03-24,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
PI2439,650977000000.0,2025-05-30,OUT_BOUND,No,No,Dissatisfied,40,Yes,No,Yes,1
YI6465,623776000000.0,2025-04-11,IN_BOUND,No,Yes,Dissatisfied,80,Yes,Yes,Yes,1
LX9101,596486000000.0,2025-02-20,OUT_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
RK0791,650830000000.0,2025-05-28,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
BU2402,596779000000.0,2025-02-25,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
BC2811,623634000000.0,2025-04-09,IN_BOUND,No,No,Dissatisfied,60,No,No,Yes,1
YX2134,589929000000.0,2024-11-06,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
RD0381,682976000000.0,2025-09-18,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
PA7517,594294000000.0,2025-01-17,IN_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
SD2828,677795000000.0,2025-07-08,OUT_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
KV9095,683107000000.0,2025-09-19,OUT_BOUND,No,Yes,Dissatisfied,50,No,No,Yes,1
FF0093,679458000000.0,2025-08-01,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
IX0972,689553000000.0,2025-12-09,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
JA3113,622557000000.0,2025-03-24,IN_BOUND,Yes,Yes,Dissatisfied,60,No,No,Yes,1
HQ7947,688586000000.0,2025-11-27,OUT_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
FM9084,689199000000.0,2025-12-04,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
MW0609,689353000000.0,2025-12-05,OUT_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
MH3261,690298000000.0,2025-12-17,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
OI3593,595603000000.0,2025-02-05,IN_BOUND,No,Yes,Dissatisfied,80,No,No,Yes,1
LO6266,621541000000.0,2025-03-07,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
RW3085,651142000000.0,2025-06-02,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
HU7069,686481000000.0,2025-10-31,IN_BOUND,Yes,Yes,Dissatisfied,0,Yes,No,Yes,1
UI2229,596925000000.0,2025-02-26,IN_BOUND,No,Yes,Dissatisfied,10,No,No,Yes,1
RC6692,684210000000.0,2025-10-06,IN_BOUND,No,Yes,Dissatisfied,20,Yes,Yes,Yes,1
HN9523,591755000000.0,2024-12-06,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
IP5234,682340000000.0,2025-09-08,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
NY1205,565598000000.0,2024-11-01,IN_BOUND,Yes,Yes,Dissatisfied,60,No,No,Yes,1
PT4884,685631000000.0,2025-10-21,IN_BOUND,No,Yes,Dissatisfied,20,Yes,Yes,Yes,1
VF8309,689553000000.0,2025-12-09,OUT_BOUND,Yes,Yes,Dissatisfied,10,Yes,Yes,Yes,1
NP5532,685919000000.0,2025-10-24,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
CU9663,650977000000.0,2025-05-30,IN_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
JY3920,687862000000.0,2025-11-18,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
MZ2072,684558000000.0,2025-10-09,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
JS6023,625080000000.0,2025-05-01,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
VU9662,594703000000.0,2025-01-23,IN_BOUND,No,No,Dissatisfied,60,Yes,No,Yes,1
YT4031,593975000000.0,2025-01-13,IN_BOUND,No,Yes,Dissatisfied,20,Yes,Yes,Yes,1
IR3292,690297000000.0,2025-12-17,OUT_BOUND,No,Yes,Dissatisfied,20,No,Yes,Yes,1
OP1768,652191000000.0,2025-06-17,OUT_BOUND,No,Yes,Dissatisfied,Not Discussed,No,No,Yes,1
XZ8494,678402000000.0,2025-07-17,IN_BOUND,No,Yes,Dissatisfied,60,No,No,Yes,1
KH9431,689354000000.0,2025-12-08,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
PT6261,684954000000.0,2025-10-13,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
FM9450,683926000000.0,2025-10-01,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
QT6632,690632000000.0,2025-12-22,OUT_BOUND,No,No,Dissatisfied,20,No,No,Yes,1
TO5001,684086000000.0,2025-10-03,IN_BOUND,No,No,Neutral,40,No,No,Yes,1
OO6114,686837000000.0,2025-11-06,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Unknown,1
BQ0096,591754000000.0,2024-12-04,OUT_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
OS5187,690131000000.0,2025-12-16,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
GS1671,591634000000.0,2024-12-04,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
JI4867,686481000000.0,2025-10-31,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
TS4171,686118000000.0,2025-10-28,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
CJ9239,621825000000.0,2025-03-13,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
IA7771,592449000000.0,2024-12-16,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
RV0970,690130000000.0,2025-12-15,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
ND5240,685446000000.0,2025-10-20,OUT_BOUND,No,No,Dissatisfied,Not Discussed,No,No,Yes,1
TC2090,193615000000.0,2025-09-24,IN_BOUND,No,No,Neutral,60,No,No,Yes,1
US3696,689552000000.0,2025-12-09,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
KS0499,686277000000.0,2025-10-29,OUT_BOUND,No,Yes,Dissatisfied,40,No,No,Yes,1
OO1428,624979000000.0,2025-04-30,IN_BOUND,No,No,Dissatisfied,70,No,No,Yes,1
PN0111,680753000000.0,2025-08-18,IN_BOUND,Yes,Yes,Dissatisfied,60,Yes,No,Yes,1
NK0826,677795000000.0,2025-07-08,IN_BOUND,Yes,No,Neutral,80,Yes,No,Yes,1
DN9061,691674000000.0,2026-01-07,IN_BOUND,No,No,Satisfied,90,No,No,Yes,1
UA0405,686277000000.0,2025-10-29,IN_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
AA0994,593975000000.0,2025-01-13,IN_BOUND,No,No,Satisfied,80,No,No,Yes,1
