Co_Ref,crm_customer_payment_intention,crm_contractor_suggested_leave,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_agent_chase_count,crm_financial_hardship_mentioned,crm_delays_in_accreditation,crm_membership_overdue
CL1172,No,No,No,Yes,No,2,No,No,No
DL8852,No,No,No,Yes,No,2,No,No,No
FP1639,No,No,No,Yes,No,1,No,No,No
HO6598,No,No,No,Yes,No,1,No,No,No
VW7704,No,No,No,Yes,No,1,No,No,No
YU1160,No,No,No,Yes,No,1,No,No,No
ET9169,No,No,No,Yes,Yes,1,No,No,No
LQ2739,No,No,No,Yes,Yes,2,No,No,No
PQ8276,No,No,No,Yes,Yes,1,No,No,No
IY0079,No,No,No,Yes,Yes,1,No,No,No
VA8435,No,No,No,Yes,Yes,0,No,No,No
XY9373,No,No,No,Yes,Yes,2,No,No,No
CF8711,No,No,No,Yes,Yes,2,No,No,No
FP1574,No,No,No,Yes,Yes,3,No,No,No
FZ4971,No,No,No,Yes,Yes,1,No,No,No
RG2913,No,No,No,Yes,Yes,1,No,No,No
XD1141,No,No,No,Yes,Yes,2,No,No,No
LZ9664,No,No,No,Yes,Yes,0,No,No,No
PQ9311,No,No,No,Yes,Yes,2,No,No,No
TB9966,No,No,No,Yes,Yes,1,No,No,No
XO8470,No,No,No,Yes,Yes,1,No,No,No
BC1913,No,No,No,Yes,Yes,1,No,No,No
EB3016,No,No,No,Yes,Yes,2,No,No,No
SU5095,No,No,No,Yes,Yes,1,No,No,No
CY1023,No,No,No,Yes,No,1,No,No,No
NA2788,No,No,No,Yes,No,2,No,No,No
TR8892,No,No,No,Yes,Yes,1,No,Yes,No
AV8515,No,No,No,Yes,Yes,0,No,No,No
WU7606,No,No,No,Yes,No,0,No,No,No
OY9607,No,No,No,Yes,No,4,No,No,No
OA9636,No,No,No,Yes,No,2,No,Yes,No
ZA8109,No,No,No,Yes,No,0,No,Yes,Yes
GG5672,No,No,No,Yes,No,2,No,Yes,No
KQ6053,No,No,No,Yes,Yes,0,No,Yes,Yes
JC0254,No,No,No,Yes,Yes,1,No,Yes,No
PJ4552,No,No,No,Yes,Yes,0,No,Yes,Yes
FG6416,No,No,No,Yes,Yes,1,No,Yes,Yes
SK1416,No,No,No,Yes,Yes,0,No,Yes,No
AS7473,No,No,No,Yes,Yes,2,No,Yes,No
QJ3638,No,No,No,Yes,No,1,No,Yes,No
VH0585,No,No,No,Yes,No,0,No,Yes,No
FP3558,No,No,No,Yes,No,0,No,Yes,No
ZA0970,No,No,No,Yes,Yes,0,No,Yes,No
AH5460,No,No,No,Yes,Yes,2,No,Yes,No
GP9164,Yes,No,No,Yes,Yes,2,No,Yes,No
DE6725,No,No,No,Yes,Yes,2,No,Yes,No
CJ9239,No,No,No,Yes,Yes,0,No,Yes,No
KR6021,No,No,No,Yes,Yes,1,No,Yes,No
AK5505,No,No,No,Yes,Yes,2,No,Yes,Yes
BJ3720,No,No,No,Yes,No,2,No,Yes,Yes
MJ0221,No,No,No,Yes,No,0,No,Yes,Yes
RF6786,No,No,No,Yes,No,1,No,Yes,Yes
HJ9700,No,No,No,Yes,No,2,No,Yes,No
LH8000,No,No,No,Yes,No,2,No,Yes,No
AX1712,No,No,No,Yes,No,2,No,Yes,No
ZS8920,No,No,No,Yes,No,0,No,Yes,No
IY2814,No,No,No,Yes,No,2,No,Yes,Yes
QY4171,No,No,No,Yes,No,2,No,Yes,No
RA9136,No,No,No,Yes,No,2,No,Yes,No
VW2986,No,No,No,Yes,No,1,No,Yes,No
IH6839,No,No,No,Yes,No,1,No,Yes,No
YB7778,No,No,No,Yes,No,1,No,Yes,No
RD6228,No,No,No,Yes,No,2,No,Yes,Yes
HH7815,No,No,No,Yes,No,1,No,Yes,No
UR3568,No,No,No,Yes,No,3,No,Yes,No
IS3302,No,No,No,Yes,No,1,No,Yes,No
RC1682,No,No,No,Yes,No,1,No,Yes,No
WH4059,No,No,No,Yes,No,2,No,Yes,No
EF4354,No,No,No,Yes,No,0,No,Yes,No
LH5600,No,No,No,Yes,No,0,No,Yes,No
MY5116,No,No,No,Yes,No,3,No,Yes,No
SX8890,No,No,No,Yes,No,1,No,Yes,No
CA2602,No,No,No,Yes,No,1,No,Yes,No
CE0028,No,No,No,Yes,No,3,No,Yes,No
ND1904,No,No,No,Yes,No,1,No,Yes,No
PL5118,No,No,No,Yes,No,3,No,Yes,No
CC5333,No,No,No,Yes,No,1,No,Yes,No
MR9626,No,No,No,Yes,No,1,No,Yes,No
PC2911,No,No,No,Yes,No,2,No,Yes,No
PK1568,No,No,No,Yes,No,1,No,Yes,No
CI4681,No,No,No,Yes,No,1,No,Yes,No
NP3154,No,No,No,Yes,No,1,No,Yes,No
RB1405,No,No,No,Yes,No,1,No,Yes,No
FU3449,No,No,No,Yes,No,2,No,Yes,No
LC8076,No,No,No,Yes,No,2,No,Yes,No
UY3566,No,No,No,Yes,No,1,No,Yes,No
AI0358,No,No,No,Yes,No,3,No,Yes,No
ER6105,No,No,No,Yes,No,1,No,Yes,No
HU7054,No,No,No,Yes,No,1,No,Yes,No
OG6626,No,No,No,Yes,No,1,No,Yes,No
YY6716,Yes,No,No,Yes,No,2,No,Yes,No
DA4961,No,No,No,Yes,No,1,No,Yes,No
EQ4838,No,No,No,Yes,No,2,No,Yes,No
LB5170,No,No,No,Yes,No,1,No,Yes,No
LQ5039,No,No,No,Yes,No,3,No,Yes,Yes
LS0501,No,No,No,Yes,No,3,No,Yes,No
EG3180,No,Yes,No,Yes,No,0,No,Yes,No
DU0361,No,No,No,Yes,No,2,No,Yes,No
AH2159,No,No,No,Yes,No,2,No,Yes,No
BM8143,No,No,No,Yes,No,1,No,Yes,No
XO0687,No,No,No,Yes,No,3,No,Yes,No
CP8018,No,No,No,Yes,Yes,1,No,Yes,No
JC9149,No,No,No,Yes,Yes,2,No,Yes,No
WA2655,No,No,No,Yes,Yes,1,No,Yes,No
AD2389,No,No,No,Yes,Yes,1,No,Yes,No
KH7488,No,No,No,Yes,Yes,2,No,Yes,No
LV5780,No,No,No,Yes,Yes,3,No,Yes,No
OB0114,No,No,No,Yes,Yes,2,No,Yes,No
BS7557,No,No,No,Yes,Yes,1,No,Yes,No
RU4405,No,No,No,Yes,Yes,2,No,Yes,No
SW9189,No,No,No,Yes,Yes,1,No,Yes,Yes
OW5788,No,No,No,Yes,Yes,2,No,Yes,No
WZ4405,No,No,No,Yes,No,2,No,No,No
MC7364,No,No,No,Yes,No,1,No,No,No
XM3655,No,No,No,Yes,Yes,1,No,No,No
LS7290,No,No,No,Yes,No,1,No,No,No
BO6920,No,No,No,Yes,No,1,No,No,No
PA8143,No,No,No,Yes,No,1,No,No,No
GV7518,No,No,No,Yes,No,2,No,No,No
LU3493,No,No,No,Yes,No,1,No,No,Yes
QE5568,No,No,No,Yes,No,1,No,No,No
KT8194,No,No,No,Yes,No,2,No,No,Yes
ZK7076,No,No,No,Yes,No,2,No,No,No
BS0182,No,No,No,Yes,No,2,No,No,No
FW8736,No,No,No,Yes,No,0,No,No,No
AH0741,No,No,No,Yes,No,1,No,No,No
CL0559,No,No,No,Yes,No,2,No,No,No
QB6158,No,No,No,Yes,No,2,No,No,No
BS8827,No,No,No,Yes,No,0,No,No,No
DX9231,No,No,No,Yes,No,0,No,No,No
FV6458,No,No,No,Yes,No,1,No,No,No
LH9785,No,No,No,Yes,No,0,No,No,No
HV9867,No,No,No,Yes,No,0,No,No,No
FQ7935,No,No,No,Yes,No,0,No,No,No
PR5511,No,No,No,Yes,No,1,No,No,No
MT8488,No,No,No,Yes,No,0,No,No,No
DD6107,No,No,No,Yes,Yes,0,No,No,No
CJ7357,No,No,No,Yes,Yes,1,No,No,No
HK2901,No,No,No,Yes,Yes,1,No,No,Yes
QL9339,No,No,No,Yes,Yes,1,No,No,No
FB0782,No,No,No,Yes,Yes,0,No,No,No
OB5796,Yes,No,No,Yes,Not Discussed,1,No,No,No
OC4861,Yes,No,No,Yes,Yes,0,No,No,No
WZ8389,No,No,No,Yes,No,0,No,No,No
AV3875,No,No,No,Yes,No,2,No,No,No
OO0872,No,No,No,Yes,No,0,No,No,No
JD0998,No,No,No,Yes,No,2,No,No,No
HO6750,No,No,No,Yes,No,0,No,No,No
GR8039,No,No,No,Yes,No,1,No,No,No
PO3372,No,No,No,Yes,No,2,No,No,No
ZC1584,No,No,No,Yes,No,1,No,No,No
BS0706,No,No,No,Yes,No,0,No,No,No
AS6913,No,No,No,Yes,No,1,No,No,No
PB3079,No,No,No,Yes,No,0,No,No,No
MJ3328,Yes,No,No,Yes,No,1,No,No,Yes
UO0182,Yes,No,No,Yes,No,0,No,No,No
BE7832,No,No,No,Yes,Yes,1,No,No,No
CL4540,No,No,No,Yes,Yes,2,No,No,No
EV6726,No,No,No,Yes,Yes,0,No,No,No
IE5889,No,No,No,Yes,Yes,2,No,No,No
LY8711,No,No,No,Yes,Yes,0,No,No,No
CP1271,No,No,No,Yes,Yes,1,No,No,No
PR0165,No,No,No,Yes,Yes,0,No,No,No
TQ3954,No,No,No,Yes,Yes,1,No,No,No
AM7393,No,No,No,Yes,Yes,0,No,No,No
UO7432,No,No,No,Yes,Yes,1,No,No,No
XM1449,No,No,No,Yes,Yes,2,No,No,No
CJ7921,No,No,No,Yes,Yes,0,No,No,No
HZ9594,No,No,No,Yes,Yes,0,No,No,No
NI5475,No,No,No,Yes,Yes,1,No,No,No
VC8378,No,No,No,Yes,Yes,1,No,No,No
GA5659,No,No,No,Yes,Yes,0,No,No,No
IK0420,No,No,No,Yes,Yes,1,No,No,No
JF8108,No,No,No,Yes,Yes,1,No,No,No
YM1356,No,No,No,Yes,Yes,1,No,No,No
ZR3276,No,No,No,Yes,Yes,1,No,No,No
IM3208,No,No,No,Yes,Yes,1,No,No,No
YY7608,No,No,No,Yes,Yes,1,No,No,No
AV9465,No,No,No,Yes,Yes,0,No,No,No
GV0140,No,No,No,Yes,Yes,0,No,No,No
KV8253,No,No,No,Yes,Yes,1,No,No,No
UB4459,No,No,No,Yes,Yes,0,No,No,No
UR1958,No,No,No,Yes,Yes,1,No,No,Yes
HC9249,No,No,No,Yes,Yes,0,No,No,No
OF1326,No,No,No,Yes,Yes,0,No,No,No
WW1278,No,No,No,Yes,Yes,0,No,No,No
EI8807,No,No,No,Yes,No,0,No,No,No
EU1190,No,No,No,Yes,No,0,No,No,No
HE5740,No,No,No,Yes,No,1,No,No,No
NW6023,No,No,No,Yes,No,1,No,No,No
OI6809,No,No,No,Yes,No,0,No,No,No
VQ5819,No,No,No,Yes,No,2,No,No,No
BS0861,No,No,No,Yes,No,1,No,No,No
CG8716,Yes,No,No,Yes,No,0,No,No,No
DD8014,No,No,No,Yes,No,0,No,No,No
DY0221,No,No,No,Yes,No,0,No,No,No
GA6152,No,No,No,Yes,No,0,No,No,No
GC2764,No,No,No,Yes,No,0,No,No,No
IL2441,No,No,No,Yes,No,1,No,No,No
KD6870,No,No,No,Yes,No,1,No,No,No
KH9445,No,No,No,Yes,No,0,No,No,No
PO2243,No,No,No,Yes,No,2,No,No,No
QT6952,Yes,No,No,Yes,No,0,No,No,No
RZ9339,No,No,No,Yes,No,1,No,No,No
YK4637,No,No,No,Yes,No,0,No,No,No
YU1449,No,No,No,Yes,No,0,No,No,No
AN5362,No,No,No,Yes,No,2,No,No,No
EA3242,No,No,No,Yes,No,0,No,No,No
HA9996,No,No,No,Yes,No,0,No,No,No
IN3315,No,No,No,Yes,No,2,No,No,No
KG2255,No,No,No,Yes,No,2,No,No,No
RP7658,No,No,No,Yes,No,2,No,No,No
RR4046,Yes,No,No,Yes,No,0,No,No,No
VM1599,No,No,No,Yes,No,2,No,No,No
YC4577,No,No,No,Yes,No,0,No,No,No
DD9248,No,No,No,Yes,No,0,No,No,No
DH2899,No,No,No,Yes,No,2,No,No,No
EX8154,No,No,No,Yes,No,0,No,No,No
IB3135,No,No,No,Yes,No,1,No,No,No
LK0298,No,No,No,Yes,No,1,No,No,Yes
PU8826,No,No,No,Yes,No,0,No,No,No
ZH2853,No,No,No,Yes,No,2,No,No,No
ZP0361,No,No,No,Yes,No,2,No,No,No
CA8659,No,No,No,Yes,No,2,No,No,No
EV4496,No,No,No,Yes,No,0,No,No,No
FU0583,No,No,No,Yes,No,0,No,No,No
HL5320,No,No,No,Yes,No,0,No,No,No
JI1176,No,No,No,Yes,No,2,No,No,No
JJ6904,No,No,No,Yes,No,0,No,No,No
KI5377,No,No,No,Yes,No,2,No,No,No
MJ0460,No,No,No,Yes,No,0,No,No,No
PU5732,No,No,No,Yes,No,1,No,No,No
YO8610,No,No,No,Yes,No,0,No,No,No
DD1260,No,No,No,Yes,No,0,No,No,No
DD9218,No,No,No,Yes,No,0,No,No,No
GD4112,No,No,No,Yes,No,0,No,No,No
GQ0442,No,No,No,Yes,No,1,No,No,No
LV7108,No,No,No,Yes,No,0,No,No,No
QT4677,No,No,No,Yes,No,2,No,No,No
RO8441,Yes,No,No,Yes,No,0,No,No,No
TF8782,No,No,No,Yes,No,1,No,No,No
ZH5359,No,No,No,Yes,No,0,No,No,No
MI3299,No,No,No,Yes,No,0,No,No,No
OU9892,No,No,No,Yes,No,1,No,No,No
SO0678,No,No,No,Yes,No,3,No,No,No
UB3582,No,No,No,Yes,No,0,No,No,No
WF5750,Yes,No,No,Yes,No,0,No,No,No
CS0376,No,No,No,Yes,No,0,No,No,No
IG5237,No,No,No,Yes,No,2,No,No,No
NZ2895,No,No,No,Yes,No,2,No,No,No
OI8344,No,No,No,Yes,No,1,No,No,No
TU9555,No,No,No,Yes,No,2,No,No,No
UO0083,No,No,No,Yes,No,0,No,No,No
IP8925,No,No,No,Yes,No,0,No,No,No
NB1994,No,No,No,Yes,No,1,No,No,Yes
DQ7980,No,No,No,Yes,No,1,No,No,No
MQ8226,No,No,No,Yes,No,1,No,No,Yes
AZ2837,Yes,No,No,Yes,No,0,No,No,No
NY1266,No,No,No,Yes,No,1,No,No,Yes
PZ3926,Yes,No,No,Yes,No,0,No,No,No
FA2575,No,No,No,Yes,No,0,No,No,No
RE6653,No,No,No,Yes,No,0,No,No,No
CT1433,No,No,No,Yes,No,1,No,No,No
MQ8853,Yes,No,No,Yes,No,0,No,No,No
EA6791,Yes,No,No,Yes,No,0,No,No,No
JM5391,No,No,No,Yes,No,1,No,No,No
TA7884,Yes,No,No,Yes,No,0,No,No,No
ZA4643,Yes,No,No,Yes,No,0,No,No,No
OM5551,No,No,No,Yes,No,2,No,No,No
PJ7257,No,No,No,Yes,No,0,No,No,No
XM4529,Yes,No,No,Yes,No,0,No,No,No
YF5729,Yes,No,No,Yes,No,0,No,No,Yes
SU5131,No,No,No,Yes,No,0,No,No,No
TU5413,Yes,No,No,Yes,No,1,No,No,No
ZT6255,Yes,No,No,Yes,No,0,No,No,Yes
ZM9774,No,No,No,Yes,No,1,No,No,No
BZ4347,No,No,No,Yes,No,0,No,No,No
GC8359,Yes,No,No,Yes,No,0,No,No,No
MG7632,No,No,No,Yes,No,2,No,No,Yes
JG2534,Yes,No,No,Yes,No,1,No,No,No
VT0235,No,No,No,Yes,No,0,No,No,No
ZL2413,Yes,No,No,Yes,No,0,No,No,Yes
UX4632,No,No,No,Yes,No,1,No,No,No
AZ8819,No,No,No,Yes,No,0,No,No,No
PH5995,Yes,No,No,Yes,No,0,No,No,Yes
LG3978,No,No,No,Yes,No,1,No,No,No
CK1937,Yes,No,No,Yes,No,0,No,No,Yes
VW5323,No,No,No,Yes,No,0,No,No,No
ZW9514,No,No,No,Yes,No,0,No,No,No
LH1115,No,No,No,Yes,No,1,No,No,Yes
FM2916,No,No,No,Yes,No,0,No,No,No
VZ7459,No,No,No,Yes,No,0,No,No,No
IQ7051,No,No,No,Yes,No,0,No,No,Yes
OK6917,No,No,No,Yes,No,0,No,No,No
DB5098,No,No,No,Yes,No,0,No,No,No
NS2277,No,No,No,Yes,No,0,No,No,Yes
QT1818,No,No,No,Yes,No,0,No,No,No
PK5268,No,No,No,Yes,No,0,No,No,No
OU0721,No,No,No,Yes,No,0,No,No,No
ZO0240,No,No,No,Yes,No,1,No,No,No
FA9853,No,No,No,Yes,No,1,No,No,No
FW2189,No,No,No,Yes,No,0,No,No,No
BO4064,No,No,No,Yes,No,1,No,No,Yes
XN0026,No,No,No,Yes,No,1,No,No,No
QS6799,No,No,No,Yes,No,0,No,No,Yes
BE4010,No,No,No,Yes,No,0,No,No,No
FE2091,No,No,No,Yes,No,1,No,No,Yes
AB1359,No,No,No,Yes,No,0,No,No,No
DP1214,No,No,No,Yes,No,1,No,No,No
DO5275,No,No,No,Yes,No,0,No,No,No
GU7224,No,No,No,Yes,No,0,No,No,No
IU4468,Yes,No,No,Yes,No,3,No,No,Yes
KN6551,Yes,Yes,No,Yes,No,0,No,No,Yes
SE7388,Yes,No,No,Yes,No,0,No,No,Yes
CP1277,Yes,No,No,Yes,No,0,No,No,No
KM5604,No,No,No,Yes,No,0,No,No,No
TW9552,Yes,No,No,Yes,No,2,No,No,No
AT0858,Yes,No,No,Yes,Yes,1,No,No,Yes
YD9785,No,No,No,Yes,Yes,0,No,No,No
XJ6575,Yes,No,No,Yes,Yes,0,No,No,Yes
XJ6671,No,No,No,Yes,Yes,0,No,No,No
FE3714,Yes,No,No,Yes,Yes,0,No,No,Yes
AS0750,Yes,No,No,Yes,Yes,0,No,No,No
BV3193,No,No,No,Yes,Yes,0,No,No,No
FF8702,No,No,No,Yes,Yes,0,No,No,Yes
IZ8004,No,No,No,Yes,Yes,0,No,No,No
CN0403,No,No,No,Yes,Yes,0,No,No,No
CF7718,No,No,No,Yes,Yes,1,No,No,No
GC2320,Yes,No,No,Yes,Yes,0,No,No,No
BN6621,No,No,No,Yes,Yes,0,No,No,No
JQ8293,No,No,No,Yes,Yes,0,No,No,No
MV4280,No,No,No,Yes,Yes,0,No,No,No
PY1498,No,No,No,Yes,Yes,0,No,No,Yes
SD7010,No,No,No,Yes,Yes,2,No,No,No
MG4097,No,No,No,Yes,Yes,0,No,No,No
LY7584,Yes,No,No,Yes,Yes,1,No,No,No
LD2340,No,No,No,Yes,Yes,0,No,No,No
MM3327,No,No,No,Yes,Yes,0,No,No,No
HR3825,No,No,No,Yes,Yes,0,No,No,No
PC4725,No,No,No,Yes,Yes,0,No,No,No
NS2994,No,No,No,Yes,Yes,0,No,No,Yes
GV0255,No,No,No,Yes,Yes,0,No,No,Yes
DR1125,Yes,No,No,Yes,Yes,0,No,No,No
ET6322,No,No,No,Yes,Yes,2,No,No,Yes
HV0517,No,No,No,Yes,Yes,1,No,No,No
NA1992,Yes,No,No,Yes,Yes,0,No,No,No
RO9395,Yes,No,No,Yes,Yes,0,No,No,No
SB5031,Yes,No,No,Yes,Yes,1,No,No,Yes
AL6021,Yes,No,No,Yes,Yes,0,No,No,Yes
JR4271,No,No,No,Yes,Yes,1,No,No,Yes
LD2473,No,No,No,Yes,Yes,0,No,No,No
HB5626,No,No,No,Yes,Yes,1,No,No,No
HK8445,No,No,No,Yes,Yes,1,No,No,No
TX8032,Yes,No,No,Yes,Yes,0,No,No,Yes
UD6596,No,No,No,Yes,Yes,0,No,No,Yes
MS9370,Yes,No,No,Yes,Yes,0,No,No,Yes
MS8878,No,No,No,Yes,Yes,2,No,No,No
PD7268,No,No,No,Yes,Yes,0,No,No,No
PH6694,No,No,No,Yes,Yes,0,No,No,No
TZ3303,No,No,No,Yes,Yes,1,No,No,No
UV2012,No,No,No,Yes,Yes,0,No,No,No
YX5121,No,No,No,Yes,Yes,1,No,No,Yes
JR2183,No,No,No,Yes,Yes,1,No,No,No
NP0991,No,No,No,Yes,Yes,0,No,No,No
OX7522,No,No,No,Yes,Yes,0,No,No,No
YC8961,No,No,No,Yes,Yes,0,No,No,Yes
AN0887,No,No,No,Yes,Yes,0,No,No,No
NW9856,Yes,No,No,Yes,Yes,0,No,No,No
RL5891,Yes,No,No,Yes,Yes,0,No,No,No
VH0638,No,No,No,Yes,No,0,No,No,Yes
CM6839,No,No,No,Yes,No,0,No,No,No
YQ8350,No,No,No,Yes,No,0,No,No,No
PU3702,Yes,No,No,Yes,No,1,No,No,No
WX8816,No,No,No,Yes,No,0,No,No,Yes
QH0645,No,No,No,Yes,No,1,No,No,No
XT6603,Yes,No,No,Yes,No,0,No,No,No
YV8229,No,No,No,Yes,No,0,No,No,Yes
LM5314,No,No,No,Yes,No,0,No,No,No
QZ3995,Yes,No,No,Yes,No,0,No,No,No
KA4496,No,No,No,Yes,Yes,1,No,No,No
RU2596,No,No,No,Yes,No,0,No,No,No
CP1430,No,No,No,Yes,No,1,No,No,No
GK0206,No,No,No,Yes,No,0,No,No,No
KR2168,No,No,No,Yes,No,1,No,No,No
DT1756,No,No,No,Yes,Yes,1,No,No,Yes
NU5717,No,No,No,Yes,No,0,No,No,No
IU2565,Yes,No,No,Yes,No,0,No,No,No
LO0169,No,No,No,Yes,Yes,0,No,No,Yes
WU8634,No,No,No,Yes,Yes,0,No,No,Yes
TG5492,No,No,No,Yes,No,0,No,No,No
KN2115,No,No,No,Yes,Yes,0,No,No,Yes
SD2882,Yes,No,No,Yes,No,0,No,No,Yes
IM9050,No,No,No,Yes,Yes,0,No,No,No
TD7281,Yes,No,No,Yes,Yes,0,No,No,Yes
MJ6601,Yes,No,No,Yes,No,0,No,No,No
UX6435,No,No,No,Yes,No,0,No,No,No
IC1022,No,No,No,Yes,Yes,0,No,No,No
RY8675,Yes,No,No,Yes,No,2,No,No,No
FM6521,No,No,No,Yes,No,0,No,No,Yes
